Frequency,Angle,Length,Velocity,Thickness,Noise
6300,5.4,0.1524,31.7,0.00525474,115.59100000000001
315,15.4,0.0508,39.6,0.0282593,124.493
630,6.7,0.1016,71.3,0.00478288,131.44799999999998
3150,22.2,0.0254,71.3,0.0214178,124.12700000000001
2500,17.4,0.0254,55.5,0.016570599999999998,124.931
6300,0.0,0.2286,39.6,0.00253511,117.465
1000,12.6,0.1524,39.6,0.058411300000000006,114.67
1250,8.4,0.0508,55.5,0.00544854,132.252
315,17.4,0.0254,39.6,0.0172206,115.14399999999999
400,17.4,0.0254,55.5,0.016570599999999998,115.461
1000,1.5,0.3048,71.3,0.00336729,125.992
500,7.3,0.2286,71.3,0.010440399999999999,136.798
5000,5.4,0.1524,39.6,0.00485029,117.037
10000,0.0,0.0254,39.6,0.00042846400000000004,133.376
4000,0.0,0.2286,55.5,0.00229336,123.41
6300,17.4,0.0254,71.3,0.016104,119.916
6300,4.2,0.0508,71.3,0.00142788,129.308
6300,2.7,0.1524,39.6,0.00294804,119.209
6300,3.3,0.1016,55.5,0.002211,123.839
800,12.6,0.1524,39.6,0.058411300000000006,116.56
1250,1.5,0.3048,39.6,0.00392107,125.211
500,6.7,0.1016,55.5,0.0052139,129.343
5000,4.8,0.0254,55.5,0.000873218,135.484
6300,15.4,0.0508,39.6,0.0282593,109.663
250,9.9,0.1524,39.6,0.0233328,128.335
630,6.7,0.1016,55.5,0.0052139,133.023
315,9.9,0.1524,71.3,0.019300099999999997,135.459
1600,4.8,0.0254,39.6,0.000907475,125.96600000000001
1600,8.9,0.1016,39.6,0.012459600000000001,123.82
2500,0.0,0.0254,31.7,0.000439472,132.89700000000002
630,2.0,0.2286,39.6,0.00346574,127.417
315,17.4,0.0254,71.3,0.016104,115.846
800,5.3,0.2286,71.3,0.0051942,133.48
3150,7.2,0.1524,39.6,0.00909175,111.818
1600,0.0,0.3048,71.3,0.00266337,127.59100000000001
4000,0.0,0.3048,71.3,0.00266337,123.061
10000,4.0,0.2286,71.3,0.00400603,113.10799999999999
1250,3.3,0.1016,39.6,0.00245138,133.211
800,19.7,0.0508,71.3,0.034118300000000004,124.555
1000,15.6,0.1016,71.3,0.0437259,124.43799999999999
400,0.0,0.2286,39.6,0.00253511,123.565
630,12.3,0.1016,39.6,0.0408268,121.315
12500,0.0,0.3048,55.5,0.00283081,111.07600000000001
400,9.5,0.0254,39.6,0.00449821,121.154
4000,11.2,0.0508,39.6,0.015047799999999998,115.52
250,9.9,0.1524,31.7,0.0252785,128.559
2000,9.9,0.1524,71.3,0.019300099999999997,120.779
1250,0.0,0.0508,39.6,0.000791822,129.148
5000,17.4,0.0254,71.3,0.016104,123.126
5000,7.2,0.1524,39.6,0.00909175,113.288
3150,0.0,0.0254,31.7,0.000439472,135.227
10000,2.0,0.2286,71.3,0.00293031,113.086
8000,0.0,0.3048,55.5,0.00283081,116.476
1600,4.0,0.2286,39.6,0.00473801,125.319
1000,5.4,0.1524,39.6,0.00485029,130.507
200,0.0,0.3048,31.7,0.00331266,117.195
4000,3.0,0.3048,71.3,0.00425727,120.264
800,4.0,0.2286,31.7,0.00509068,130.869
1250,0.0,0.3048,31.7,0.00331266,124.355
800,8.4,0.0508,55.5,0.00544854,128.562
6300,0.0,0.2286,55.5,0.00229336,118.41
3150,3.0,0.3048,55.5,0.00452492,120.189
1250,6.7,0.1016,39.6,0.00578076,132.395
12500,0.0,0.0508,71.3,0.000740478,125.22
4000,1.5,0.3048,71.3,0.00336729,121.762
4000,4.2,0.0508,71.3,0.00142788,133.59799999999998
4000,12.6,0.1524,39.6,0.058411300000000006,104.5
10000,0.0,0.3048,39.6,0.00310138,112.139
10000,0.0,0.1016,55.5,0.00131983,121.93
12500,2.7,0.1524,71.3,0.00243851,113.03399999999999
250,15.4,0.0508,71.3,0.0264269,124.835
315,17.4,0.0254,31.7,0.017663099999999998,118.416
2000,11.2,0.0508,39.6,0.015047799999999998,124.42
2500,15.6,0.1016,39.6,0.0528487,110.264
3150,2.7,0.1524,39.6,0.00294804,122.919
400,15.6,0.1016,71.3,0.0437259,134.058
2000,7.2,0.1524,71.3,0.00752039,128.643
12500,0.0,0.1524,71.3,0.0015988,117.087
4000,8.4,0.0508,55.5,0.00544854,122.61200000000001
10000,0.0,0.1016,39.6,0.00146332,119.561
2000,4.2,0.0508,71.3,0.00142788,129.84799999999998
250,19.7,0.0508,39.6,0.036483999999999996,127.22399999999999
4000,0.0,0.3048,31.7,0.00331266,118.145
250,15.4,0.0508,55.5,0.0271925,124.17
6300,1.5,0.3048,39.6,0.00392107,114.751
800,9.9,0.1524,39.6,0.0233328,126.345
5000,12.6,0.1524,71.3,0.0483159,108.03399999999999
6300,0.0,0.2286,71.3,0.00214345,122.044
3150,2.0,0.2286,39.6,0.00346574,121.62700000000001
400,12.6,0.1524,71.3,0.0483159,127.094
400,5.3,0.2286,71.3,0.0051942,127.7
5000,2.7,0.1524,71.3,0.00243851,124.36399999999999
2000,8.4,0.0508,55.5,0.00544854,133.042
1600,9.5,0.0254,55.5,0.0043284,133.062
2000,4.0,0.3048,39.6,0.00579636,120.963
500,4.8,0.0254,39.6,0.000907475,116.366
10000,3.0,0.3048,71.3,0.00425727,110.22399999999999
5000,0.0,0.3048,39.6,0.00310138,117.789
5000,15.4,0.0508,39.6,0.0282593,114.45299999999999
800,0.0,0.2286,55.5,0.00229336,127.53
2000,22.2,0.0254,39.6,0.022902799999999997,121.256
630,0.0,0.3048,31.7,0.00331266,129.095
1250,5.4,0.1524,71.3,0.00401199,134.111
1000,0.0,0.0254,31.7,0.000439472,125.12700000000001
5000,9.5,0.0254,71.3,0.00420654,131.186
250,15.4,0.0508,31.7,0.028985300000000002,121.225
2000,0.0,0.0508,39.6,0.000791822,132.918
2500,4.0,0.3048,39.6,0.00579636,120.23299999999999
4000,3.0,0.3048,39.6,0.00495741,116.792
8000,3.3,0.1016,39.6,0.00245138,118.09100000000001
400,1.5,0.3048,39.6,0.00392107,124.001
1000,22.2,0.0254,71.3,0.0214178,134.247
3150,3.0,0.3048,71.3,0.00425727,121.514
500,5.4,0.1524,71.3,0.00401199,126.291
6300,9.5,0.0254,31.7,0.00461377,120.726
10000,0.0,0.1524,55.5,0.00172668,119.25299999999999
2500,4.0,0.3048,71.3,0.00497773,123.775
1600,2.0,0.2286,71.3,0.00293031,127.796
4000,4.0,0.2286,71.3,0.00400603,121.728
1600,7.3,0.2286,31.7,0.0132672,119.039
5000,12.3,0.1016,31.7,0.0418756,107.147
1000,4.0,0.2286,39.6,0.00473801,129.969
500,3.0,0.3048,71.3,0.00425727,128.454
500,6.7,0.1016,39.6,0.00578076,130.955
800,0.0,0.0508,55.5,0.00076193,124.336
2000,12.7,0.0254,39.6,0.013025299999999998,129.567
2000,19.7,0.0508,71.3,0.034118300000000004,120.055
1600,3.0,0.3048,71.3,0.00425727,126.514
4000,7.3,0.2286,39.6,0.0123481,114.079
6300,1.5,0.3048,71.3,0.00336729,118.12200000000001
8000,3.3,0.1016,31.7,0.00251435,117.432
3150,22.2,0.0254,39.6,0.022902799999999997,120.85600000000001
630,6.7,0.1016,39.6,0.00578076,133.355
1250,4.0,0.2286,71.3,0.00400603,131.718
1600,6.7,0.1016,55.5,0.0052139,133.653
250,22.2,0.0254,39.6,0.022902799999999997,117.38600000000001
6300,0.0,0.0508,71.3,0.000740478,133.04
6300,5.3,0.2286,39.6,0.00614329,112.541
1600,0.0,0.2286,31.7,0.0027238,125.625
4000,0.0,0.1016,71.3,0.00121072,130.935
4000,2.0,0.2286,55.5,0.00313525,122.23200000000001
2500,4.0,0.2286,71.3,0.00400603,124.338
1600,3.0,0.3048,55.5,0.00452492,124.439
800,22.2,0.0254,71.3,0.0214178,123.227
4000,9.9,0.1524,39.6,0.0233328,112.265
2000,2.0,0.2286,71.3,0.00293031,126.896
2000,15.6,0.1016,39.6,0.0528487,110.89399999999999
200,9.5,0.0254,39.6,0.00449821,116.074
3150,1.5,0.3048,71.3,0.00336729,123.39200000000001
10000,1.5,0.3048,39.6,0.00392107,108.991
2000,3.3,0.1016,31.7,0.00251435,131.642
630,0.0,0.3048,39.6,0.00310138,128.629
800,9.5,0.0254,31.7,0.00461377,130.746
2500,7.3,0.2286,31.7,0.0132672,114.709
1250,7.3,0.2286,31.7,0.0132672,120.509
5000,0.0,0.0508,31.7,0.000812164,133.23
1250,12.6,0.1524,39.6,0.058411300000000006,112.16
315,15.4,0.0508,55.5,0.0271925,125.39
10000,12.7,0.0254,39.6,0.013025299999999998,116.01700000000001
200,15.4,0.0508,39.6,0.0282593,121.78299999999999
2500,4.8,0.0254,39.6,0.000907475,131.236
12500,1.5,0.3048,71.3,0.00336729,109.22200000000001
1000,1.5,0.3048,39.6,0.00392107,127.581
4000,3.3,0.1016,71.3,0.00202822,128.704
630,1.5,0.3048,39.6,0.00392107,128.311
2000,0.0,0.1524,71.3,0.0015988,128.64700000000002
2000,4.8,0.0254,39.6,0.000907475,128.916
200,9.9,0.1524,31.7,0.0252785,127.29899999999999
3150,0.0,0.0254,39.6,0.00042846400000000004,133.276
5000,9.5,0.0254,55.5,0.0043284,128.412
6300,7.3,0.2286,39.6,0.0123481,110.839
4000,0.0,0.0508,31.7,0.000812164,134.11
200,9.9,0.1524,55.5,0.0208438,131.955
1000,15.4,0.0508,55.5,0.0271925,130.4
630,15.4,0.0508,39.6,0.0282593,127.443
630,17.4,0.0254,31.7,0.017663099999999998,136.886
6300,7.3,0.2286,71.3,0.010440399999999999,115.818
630,3.3,0.1016,55.5,0.002211,126.59899999999999
6300,0.0,0.0254,55.5,0.00041229,136.10299999999998
630,12.7,0.0254,39.6,0.013025299999999998,128.86700000000002
2500,3.0,0.3048,71.3,0.00425727,124.024
8000,7.2,0.1524,71.3,0.00752039,113.333
630,19.7,0.0508,71.3,0.034118300000000004,128.365
3150,9.9,0.1524,31.7,0.0252785,112.209
315,19.7,0.0508,39.6,0.036483999999999996,129.864
6300,15.4,0.0508,31.7,0.028985300000000002,108.185
6300,0.0,0.3048,31.7,0.00331266,113.775
4000,2.0,0.2286,39.6,0.00346574,120.227
2500,4.2,0.0508,71.3,0.00142788,131.97799999999998
3150,9.5,0.0254,31.7,0.00461377,128.536
3150,0.0,0.2286,31.7,0.0027238,123.445
2500,0.0,0.2286,39.6,0.00253511,125.025
800,3.0,0.3048,31.7,0.00529514,128.708
1250,8.9,0.1016,39.6,0.012459600000000001,127.71
10000,5.3,0.2286,71.3,0.0051942,111.35
800,22.2,0.0254,39.6,0.022902799999999997,137.076
2000,3.0,0.3048,55.5,0.00452492,123.069
400,12.3,0.1016,55.5,0.0368233,136.414
2500,2.0,0.2286,71.3,0.00293031,127.006
800,12.3,0.1016,39.6,0.0408268,122.315
6300,4.8,0.0254,55.5,0.000873218,135.164
8000,0.0,0.3048,71.3,0.00266337,117.15100000000001
3150,7.3,0.2286,31.7,0.0132672,113.229
4000,12.7,0.0254,71.3,0.012180799999999999,131.808
200,12.6,0.1524,39.6,0.058411300000000006,114.75
8000,2.0,0.2286,71.3,0.00293031,115.99600000000001
5000,5.4,0.1524,31.7,0.00525474,115.691
200,7.3,0.2286,71.3,0.010440399999999999,138.75799999999998
2500,19.7,0.0508,39.6,0.036483999999999996,116.184
1250,17.4,0.0254,31.7,0.017663099999999998,128.306
1000,5.4,0.1524,55.5,0.00433288,132.127
5000,0.0,0.1016,31.7,0.00150092,124.39299999999999
4000,12.3,0.1016,39.6,0.0408268,110.905
4000,0.0,0.1524,71.3,0.0015988,128.857
6300,12.6,0.1524,39.6,0.058411300000000006,103.38
1000,8.9,0.1016,71.3,0.0103088,135.433
630,3.0,0.3048,31.7,0.00529514,128.69799999999998
1250,0.0,0.1524,31.7,0.00209405,131.467
500,9.5,0.0254,31.7,0.00461377,126.88600000000001
1250,0.0,0.0508,55.5,0.00076193,127.07600000000001
2000,8.9,0.1016,71.3,0.0103088,124.23299999999999
4000,0.0,0.0508,71.3,0.000740478,134.43
12500,2.7,0.1524,39.6,0.00294804,108.649
630,4.0,0.3048,39.6,0.00579636,131.07299999999998
1250,12.3,0.1016,39.6,0.0408268,121.165
630,12.6,0.1524,71.3,0.0483159,123.304
1250,19.7,0.0508,71.3,0.034118300000000004,121.485
2500,4.8,0.0254,31.7,0.0009307889999999999,132.588
10000,12.7,0.0254,71.3,0.012180799999999999,114.41799999999999
5000,15.4,0.0508,55.5,0.0271925,117.11
1250,15.6,0.1016,39.6,0.0528487,118.214
5000,0.0,0.3048,71.3,0.00266337,121.301
5000,0.0,0.1016,39.6,0.00146332,126.021
1000,9.9,0.1524,39.6,0.0233328,123.835
315,8.9,0.1016,39.6,0.012459600000000001,135.38
5000,4.0,0.2286,31.7,0.00509068,115.969
8000,4.2,0.0508,71.3,0.00142788,125.26799999999999
10000,0.0,0.0508,71.3,0.000740478,128.74
315,4.0,0.2286,39.6,0.00473801,122.229
8000,22.2,0.0254,71.3,0.0214178,121.65700000000001
500,17.4,0.0254,71.3,0.016104,119.806
1250,12.7,0.0254,71.3,0.012180799999999999,133.048
500,2.0,0.2286,55.5,0.00313525,124.69200000000001
5000,17.4,0.0254,55.5,0.016570599999999998,118.941
8000,5.3,0.2286,71.3,0.0051942,114.9
1600,9.5,0.0254,31.7,0.00461377,131.036
1600,15.4,0.0508,31.7,0.028985300000000002,121.485
400,3.0,0.3048,31.7,0.00529514,125.398
500,2.7,0.1524,39.6,0.00294804,121.009
3150,12.7,0.0254,39.6,0.013025299999999998,127.84700000000001
800,4.8,0.0254,39.6,0.000907475,120.766
250,15.6,0.1016,39.6,0.0528487,124.64399999999999
250,12.3,0.1016,55.5,0.0368233,133.29399999999998
400,7.3,0.2286,31.7,0.0132672,130.269
2000,2.7,0.1524,39.6,0.00294804,128.139
1600,17.4,0.0254,31.7,0.017663099999999998,126.846
5000,0.0,0.2286,39.6,0.00253511,122.175
3150,4.8,0.0254,39.6,0.000907475,133.436
315,0.0,0.2286,31.7,0.0027238,120.595
800,0.0,0.1016,31.7,0.00150092,129.053
3150,3.3,0.1016,71.3,0.00202822,132.114
5000,0.0,0.2286,55.5,0.00229336,122.41
315,1.5,0.3048,39.6,0.00392107,121.851
1600,3.0,0.3048,31.7,0.00529514,122.088
2500,8.4,0.0508,55.5,0.00544854,131.542
400,15.4,0.0508,39.6,0.0282593,125.353
4000,22.2,0.0254,39.6,0.022902799999999997,119.646
2500,9.9,0.1524,39.6,0.0233328,116.295
2500,17.4,0.0254,71.3,0.016104,126.74600000000001
630,5.4,0.1524,55.5,0.00433288,131.80700000000002
1000,15.4,0.0508,39.6,0.0282593,127.89299999999999
1600,3.0,0.3048,39.6,0.00495741,122.78200000000001
5000,9.5,0.0254,31.7,0.00461377,124.426
1250,8.4,0.0508,39.6,0.00566229,131.205
400,7.3,0.2286,55.5,0.011170600000000001,135.924
3150,5.3,0.2286,71.3,0.0051942,123.12
5000,0.0,0.1524,31.7,0.00209405,122.397
1000,3.3,0.1016,39.6,0.00245138,131.971
2500,0.0,0.1524,31.7,0.00209405,125.867
1250,3.3,0.1016,31.7,0.00251435,134.02200000000002
500,4.0,0.2286,31.7,0.00509068,128.939
4000,5.3,0.2286,39.6,0.00614329,115.801
1000,0.0,0.3048,71.3,0.00266337,125.20100000000001
500,5.3,0.2286,71.3,0.0051942,129.88
1600,15.4,0.0508,55.5,0.0271925,128.2
4000,8.4,0.0508,39.6,0.00566229,118.955
1600,12.3,0.1016,71.3,0.033779199999999995,124.74799999999999
3150,0.0,0.1524,55.5,0.00172668,127.75299999999999
6300,3.3,0.1016,39.6,0.00245138,120.851
2000,0.0,0.3048,31.7,0.00331266,122.375
1600,9.9,0.1524,71.3,0.019300099999999997,121.789
1250,3.3,0.1016,55.5,0.002211,132.769
6300,4.8,0.0254,31.7,0.0009307889999999999,132.898
4000,22.2,0.0254,71.3,0.0214178,123.917
12500,4.0,0.3048,71.3,0.00497773,107.405
4000,7.3,0.2286,31.7,0.0132672,112.639
10000,3.0,0.3048,55.5,0.00452492,112.169
6300,0.0,0.1016,31.7,0.00150092,124.25299999999999
1600,2.7,0.1524,39.6,0.00294804,130.049
400,11.2,0.0508,39.6,0.015047799999999998,130.67
630,12.6,0.1524,39.6,0.058411300000000006,116.55
4000,1.5,0.3048,39.6,0.00392107,117.741
3150,12.3,0.1016,39.6,0.0408268,113.055
1600,4.0,0.3048,39.6,0.00579636,123.213
1000,15.4,0.0508,71.3,0.0264269,131.865
4000,4.8,0.0254,71.3,0.000848633,134.928
1000,4.2,0.0508,39.6,0.00152689,125.647
1600,7.3,0.2286,55.5,0.011170600000000001,123.354
3150,2.0,0.2286,71.3,0.00293031,126.116
2000,1.5,0.3048,71.3,0.00336729,126.64200000000001
3150,8.4,0.0508,71.3,0.00529514,131.966
1000,3.0,0.3048,39.6,0.00495741,128.312
800,4.0,0.2286,71.3,0.00400603,130.688
12500,4.8,0.0254,55.5,0.000873218,125.094
5000,4.0,0.2286,55.5,0.0042861999999999996,120.03399999999999
2000,12.3,0.1016,31.7,0.0418756,110.447
400,17.4,0.0254,71.3,0.016104,117.396
800,0.0,0.1524,31.7,0.00209405,129.11700000000002
6300,0.0,0.1016,55.5,0.00131983,127.73
800,8.4,0.0508,31.7,0.00580776,128.246
1250,5.3,0.2286,71.3,0.0051942,133.38
8000,0.0,0.1524,39.6,0.00193287,120.553
315,15.6,0.1016,39.6,0.0528487,122.75399999999999
2500,4.0,0.2286,39.6,0.00473801,119.649
200,7.3,0.2286,39.6,0.0123481,130.989
2000,4.0,0.3048,71.3,0.00497773,124.395
200,0.0,0.3048,39.6,0.00310138,118.12899999999999
2500,2.7,0.1524,71.3,0.00243851,128.334
5000,0.0,0.2286,71.3,0.00214345,124.304
3150,0.0,0.0254,55.5,0.00041229,130.503
250,12.3,0.1016,39.6,0.0408268,129.675
3150,19.7,0.0508,71.3,0.034118300000000004,116.225
800,6.7,0.1016,39.6,0.00578076,134.625
6300,4.0,0.3048,71.3,0.00497773,116.165
4000,4.0,0.3048,71.3,0.00497773,119.535
1250,9.9,0.1524,55.5,0.0208438,121.635
250,4.0,0.3048,39.6,0.00579636,123.54299999999999
4000,2.7,0.1524,71.3,0.00243851,126.53399999999999
800,15.6,0.1016,71.3,0.0437259,124.18799999999999
400,17.4,0.0254,39.6,0.0172206,115.444
2500,15.4,0.0508,39.6,0.0282593,122.413
3150,0.0,0.1524,39.6,0.00193287,125.603
800,19.7,0.0508,39.6,0.036483999999999996,119.17399999999999
5000,1.5,0.3048,71.3,0.00336729,119.632
1600,3.3,0.1016,31.7,0.00251435,133.40200000000002
1250,5.4,0.1524,31.7,0.00525474,123.991
800,0.0,0.0508,39.6,0.000791822,126.508
4000,9.9,0.1524,55.5,0.0208438,112.945
315,11.2,0.0508,71.3,0.014072,128.381
1250,0.0,0.2286,31.7,0.0027238,128.805
5000,0.0,0.0508,71.3,0.000740478,134.43
315,0.0,0.2286,39.6,0.00253511,121.055
1250,4.0,0.3048,71.3,0.00497773,129.395
1250,3.0,0.3048,39.6,0.00495741,125.802
2000,9.5,0.0254,31.7,0.00461377,130.496
2000,0.0,0.2286,39.6,0.00253511,125.305
630,22.2,0.0254,39.6,0.022902799999999997,137.026
250,19.7,0.0508,71.3,0.034118300000000004,119.115
4000,4.0,0.3048,39.6,0.00579636,115.863
4000,0.0,0.3048,39.6,0.00310138,119.229
200,12.6,0.1524,71.3,0.0483159,128.35399999999998
6300,3.0,0.3048,71.3,0.00425727,116.134
2000,0.0,0.3048,39.6,0.00310138,123.689
400,5.4,0.1524,39.6,0.00485029,127.637
4000,12.3,0.1016,71.3,0.033779199999999995,118.01799999999999
800,0.0,0.1016,39.6,0.00146332,128.401
400,12.3,0.1016,39.6,0.0408268,128.265
500,0.0,0.1524,39.6,0.00193287,119.51299999999999
630,0.0,0.1524,55.5,0.00172668,123.583
630,15.4,0.0508,55.5,0.0271925,129.33
200,19.7,0.0508,39.6,0.036483999999999996,125.97399999999999
6300,0.0,0.3048,55.5,0.00283081,117.976
5000,4.8,0.0254,71.3,0.000848633,135.468
2500,6.7,0.1016,71.3,0.00478288,131.458
1600,1.5,0.3048,71.3,0.00336729,126.632
8000,15.4,0.0508,71.3,0.0264269,112.675
800,6.7,0.1016,71.3,0.00478288,134.47799999999998
2000,5.3,0.2286,71.3,0.0051942,125.89
3150,0.0,0.1524,31.7,0.00209405,124.20700000000001
2000,11.2,0.0508,71.3,0.014072,133.311
10000,3.3,0.1016,55.5,0.002211,115.65899999999999
2000,5.3,0.2286,39.6,0.00614329,117.911
8000,0.0,0.0508,71.3,0.000740478,130.89
1600,12.6,0.1524,39.6,0.058411300000000006,110.78
250,15.6,0.1016,71.3,0.0437259,132.158
1000,0.0,0.1524,71.3,0.0015988,127.307
2000,2.0,0.2286,55.5,0.00313525,124.61200000000001
8000,1.5,0.3048,71.3,0.00336729,115.37200000000001
4000,15.4,0.0508,39.6,0.0282593,118.113
800,0.0,0.2286,31.7,0.0027238,130.725
1000,7.3,0.2286,31.7,0.0132672,119.09899999999999
